Index,L1,L2
25158,T cell,CD8 Naive
25159,B cell,Naive B
25160,Mono/DC,CD14 Mono
25161,T cell,CD8 Effector_2
25162,T cell,CD8 Effector_2
25163,T cell,CD8 Naive
25164,B cell,Memory B
25165,T cell,CD4 Memory
25166,B cell,Naive B
25167,T cell,CD4 Memory
25168,T cell,CD4 Memory
25169,Mono/DC,CD14 Mono
25170,B cell,Naive B
25171,T cell,CD8 Naive
25172,T cell,CD4 Naive
25173,Progenitor cells,Prog_RBC
25174,T cell,CD8 Naive
25175,T cell,CD4 Memory
25176,T cell,CD4 Memory
25177,T cell,CD8 Naive
25178,NK,NK
25179,Mono/DC,CD14 Mono
25180,Progenitor cells,HSC
25181,Mono/DC,CD14 Mono
25182,T cell,CD4 Naive
25183,Mono/DC,CD14 Mono
25184,T cell,CD4 Naive
25185,T cell,CD8 Effector_1
25186,T cell,CD8 Naive
25187,Mono/DC,CD14 Mono
25188,B cell,Memory B
25189,Mono/DC,CD14 Mono
25190,Mono/DC,CD16 Mono
25191,T cell,CD4 Naive
25192,Mono/DC,CD14 Mono
25193,Progenitor cells,LMPP
25194,T cell,CD4 Naive
25195,T cell,CD4 Naive
25196,T cell,CD4 Naive
25197,B cell,Memory B
25198,T cell,CD4 Memory
25199,Progenitor cells,Prog_RBC
25200,Mono/DC,CD14 Mono
25201,Mono/DC,CD14 Mono
25202,T cell,CD4 Naive
25203,T cell,CD8 Naive
25204,B cell,Plasmablast
25205,Mono/DC,CD14 Mono
25206,T cell,CD8 Naive
25207,T cell,CD4 Memory
25208,Progenitor cells,GMP
25209,Mono/DC,CD14 Mono
25210,T cell,CD8 Naive
25211,Mono/DC,pDC
25212,T cell,CD8 Naive
25213,Mono/DC,CD14 Mono
25214,T cell,CD8 Naive
25215,Mono/DC,CD14 Mono
25216,T cell,CD4 Memory
25217,T cell,CD4 Memory
25218,T cell,CD4 Memory
25219,T cell,CD8 Naive
25220,T cell,CD4 Memory
25221,T cell,CD8 Naive
25222,Mono/DC,CD14 Mono
25223,B cell,Naive B
25224,T cell,CD4 Memory
25225,Mono/DC,CD14 Mono
25226,T cell,Treg
25227,B cell,Memory B
25228,B cell,Naive B
25229,T cell,CD8 Memory_1
25230,T cell,CD4 Naive
25231,B cell,Memory B
25232,T cell,CD8 Naive
25233,T cell,CD4 Memory
25234,Progenitor cells,Prog_RBC
25235,T cell,CD4 Memory
25236,B cell,Naive B
25237,T cell,CD4 Naive
25238,T cell,MAIT
25239,T cell,CD8 Naive
25240,T cell,CD8 Naive
25241,T cell,CD4 Naive
25242,NK,NK
25243,Mono/DC,pDC
25244,B cell,Naive B
25245,Mono/DC,CD14 Mono
25246,Progenitor cells,Prog_DC
25247,Progenitor cells,HSC
25248,Progenitor cells,Prog_RBC
25249,Mono/DC,CD14 Mono
25250,T cell,CD4 Naive
25251,B cell,Naive B
25252,Mono/DC,CD14 Mono
25253,Progenitor cells,GMP
25254,Mono/DC,CD14 Mono
25255,Mono/DC,CD16 Mono
25256,T cell,CD8 Naive
25257,T cell,CD4 Naive
25258,B cell,Naive B
25259,T cell,CD4 Naive
25260,NK,NK
25261,Mono/DC,CD14 Mono
25262,Mono/DC,CD14 Mono
25263,Mono/DC,CD14 Mono
25264,T cell,CD4 Memory
25265,Mono/DC,pDC
25266,Mono/DC,CD14 Mono
25267,Mono/DC,CD14 Mono
25268,T cell,CD8 Naive
25269,B cell,Memory B
25270,T cell,CD4 Naive
25271,T cell,CD4 Memory
25272,T cell,CD4 Naive
25273,Mono/DC,CD14 Mono
25274,Progenitor cells,HSC
25275,T cell,CD8 Effector_2
25276,B cell,Naive B
25277,T cell,CD8 Naive
25278,T cell,CD4 Naive
25279,T cell,CD4 Memory
25280,T cell,gdT
25281,T cell,CD4 Naive
25282,Mono/DC,CD14 Mono
25283,Progenitor cells,GMP
25284,B cell,Naive B
25285,T cell,CD8 Naive
25286,T cell,CD8 Naive
25287,T cell,CD4 Memory
25288,B cell,Plasmablast
25289,Progenitor cells,GMP
25290,Progenitor cells,GMP
25291,B cell,Naive B
25292,T cell,CD8 Naive
25293,T cell,CD4 Memory
25294,Mono/DC,CD14 Mono
25295,Mono/DC,CD16 Mono
25296,Mono/DC,pDC
25297,NK,NK
25298,T cell,CD4 Naive
25299,Mono/DC,CD14 Mono
25300,Mono/DC,CD14 Mono
25301,T cell,CD4 Memory
25302,T cell,CD4 Naive
25303,T cell,CD4 Naive
25304,T cell,CD4 Memory
25305,T cell,CD8 Naive
25306,T cell,CD8 Naive
25307,T cell,CD8 Naive
25308,T cell,CD4 Naive
25309,T cell,CD8 Naive
25310,T cell,CD4 Naive
25311,Mono/DC,CD14 Mono
25312,Mono/DC,CD14 Mono
25313,Progenitor cells,Prog_RBC
25314,T cell,CD4 Naive
25315,T cell,CD4 Naive
25316,Mono/DC,CD14 Mono
25317,B cell,Naive B
25318,T cell,CD4 Naive
25319,NK,NK
25320,Mono/DC,CD14 Mono
25321,T cell,CD8 Memory_2
25322,T cell,CD8 Naive
25323,T cell,CD4 Memory
25324,T cell,Treg
25325,T cell,CD8 Naive
25326,T cell,CD4 Naive
25327,T cell,CD8 Naive
25328,T cell,CD8 Naive
25329,T cell,CD4 Naive
25330,T cell,CD4 Memory
25331,T cell,CD4 Naive
25332,Mono/DC,CD14 Mono
25333,Progenitor cells,Prog_RBC
25334,T cell,CD8 Naive
25335,Mono/DC,CD14 Mono
25336,NK,NK
25337,Mono/DC,CD14 Mono
25338,Mono/DC,CD14 Mono
25339,Progenitor cells,Prog_RBC
25340,T cell,CD8 Memory_1
25341,Mono/DC,CD14 Mono
25342,T cell,CD8 Naive
25343,Mono/DC,CD14 Mono
25344,Mono/DC,cDC2
25345,T cell,MAIT
25346,Mono/DC,CD14 Mono
25347,T cell,CD4 Memory
25348,Mono/DC,CD14 Mono
25349,T cell,CD4 Naive
25350,T cell,CD8 Naive
25351,T cell,MAIT
25352,Mono/DC,CD16 Mono
25353,T cell,CD8 Naive
25354,Progenitor cells,Prog_B 1
25355,T cell,CD8 Naive
25356,B cell,Memory B
25357,Mono/DC,CD14 Mono
25358,Progenitor cells,HSC
25359,T cell,CD8 Naive
25360,B cell,Naive B
25361,Progenitor cells,LMPP
25362,B cell,Memory B
25363,T cell,CD4 Memory
25364,Progenitor cells,GMP
25365,Mono/DC,CD14 Mono
25366,NK,NK
25367,Mono/DC,CD14 Mono
25368,Mono/DC,CD14 Mono
25369,T cell,CD4 Naive
25370,B cell,Naive B
25371,NK,NK
25372,T cell,CD8 Memory_2
25373,T cell,CD4 Memory
25374,T cell,CD4 Naive
25375,Mono/DC,CD14 Mono
25376,B cell,Memory B
25377,T cell,CD4 Memory
25378,T cell,CD4 Naive
25379,Mono/DC,pDC
25380,Mono/DC,CD14 Mono
25381,B cell,Memory B
25382,Mono/DC,CD14 Mono
25383,B cell,Memory B
25384,Mono/DC,CD14 Mono
25385,T cell,CD8 Naive
25386,B cell,Naive B
25387,Mono/DC,CD14 Mono
25388,B cell,Plasmablast
25389,Progenitor cells,Prog_B 1
25390,B cell,Memory B
25391,T cell,CD8 Effector_1
25392,Mono/DC,CD14 Mono
25393,T cell,CD8 Effector_2
25394,B cell,Naive B
25395,T cell,CD8 Naive
25396,T cell,CD8 Naive
25397,T cell,CD4 Memory
25398,T cell,CD4 Naive
25399,NK,NK
25400,T cell,CD4 Memory
25401,Mono/DC,CD14 Mono
25402,T cell,CD8 Effector_2
25403,T cell,CD8 Naive
25404,Progenitor cells,Prog_RBC
25405,Mono/DC,CD14 Mono
25406,Progenitor cells,Prog_DC
25407,T cell,CD4 Memory
25408,Mono/DC,cDC2
25409,T cell,CD8 Naive
25410,T cell,CD8 Effector_2
25411,Mono/DC,CD14 Mono
25412,Mono/DC,CD14 Mono
25413,Mono/DC,CD14 Mono
25414,Mono/DC,pDC
25415,Progenitor cells,Prog_RBC
25416,Progenitor cells,GMP
25417,Mono/DC,cDC2
25418,Progenitor cells,GMP
25419,T cell,CD4 Memory
25420,Mono/DC,CD14 Mono
25421,Mono/DC,CD14 Mono
25422,Mono/DC,CD14 Mono
25423,B cell,Plasmablast
25424,B cell,Plasmablast
25425,B cell,Naive B
25426,Mono/DC,CD14 Mono
25427,B cell,Naive B
25428,Progenitor cells,Prog_DC
25429,T cell,CD4 Memory
25430,Mono/DC,CD14 Mono
25431,T cell,CD8 Naive
25432,T cell,CD8 Naive
25433,Progenitor cells,Prog_B 2
25434,T cell,CD8 Naive
25435,T cell,CD4 Naive
25436,T cell,CD4 Naive
25437,T cell,CD4 Naive
25438,T cell,CD4 Naive
25439,T cell,CD4 Memory
25440,Mono/DC,CD14 Mono
25441,Progenitor cells,GMP
25442,T cell,CD4 Naive
25443,Progenitor cells,LMPP
25444,NK,NK
25445,T cell,CD8 Naive
25446,T cell,CD8 Naive
25447,T cell,CD8 Naive
25448,T cell,CD4 Naive
25449,T cell,CD8 Memory_2
25450,B cell,Memory B
25451,T cell,CD4 Memory
25452,B cell,Plasmablast
25453,Mono/DC,CD14 Mono
25454,Mono/DC,CD14 Mono
25455,Mono/DC,CD14 Mono
25456,Mono/DC,CD16 Mono
25457,T cell,CD4 Memory
25458,T cell,CD4 Memory
25459,Progenitor cells,GMP
25460,Progenitor cells,GMP
25461,T cell,CD8 Naive
25462,T cell,CD4 Naive
25463,T cell,CD4 Naive
25464,Mono/DC,CD14 Mono
25465,T cell,CD8 Effector_1
25466,T cell,CD4 Memory
25467,T cell,CD8 Naive
25468,T cell,CD8 Naive
25469,T cell,gdT
25470,T cell,CD8 Naive
25471,T cell,CD4 Memory
25472,T cell,Treg
25473,B cell,Naive B
25474,T cell,CD4 Naive
25475,Mono/DC,CD14 Mono
25476,Mono/DC,CD14 Mono
25477,T cell,CD8 Memory_2
25478,T cell,CD8 Naive
25479,Progenitor cells,Prog_RBC
25480,T cell,CD4 Memory
25481,T cell,CD4 Memory
25482,Mono/DC,CD14 Mono
25483,T cell,CD4 Memory
25484,Mono/DC,CD14 Mono
25485,B cell,Naive B
25486,T cell,CD8 Memory_2
25487,T cell,CD4 Naive
25488,T cell,CD4 Naive
25489,T cell,CD4 Naive
25490,B cell,Naive B
25491,T cell,CD4 Naive
25492,T cell,CD4 Naive
25493,T cell,CD8 Naive
25494,B cell,Memory B
25495,T cell,CD4 Memory
25496,Mono/DC,CD14 Mono
25497,B cell,Memory B
25498,Progenitor cells,GMP
25499,B cell,Memory B
25500,T cell,CD4 Naive
25501,T cell,CD8 Naive
25502,Mono/DC,CD14 Mono
25503,Mono/DC,CD14 Mono
25504,NK,NK
25505,T cell,CD4 Memory
25506,T cell,CD8 Naive
25507,T cell,CD8 Memory_2
25508,Mono/DC,CD16 Mono
25509,Mono/DC,CD14 Mono
25510,T cell,CD8 Naive
25511,T cell,CD8 Naive
25512,Mono/DC,CD14 Mono
25513,T cell,CD8 Naive
25514,Mono/DC,CD14 Mono
25515,Progenitor cells,GMP
25516,B cell,Naive B
25517,B cell,Memory B
25518,T cell,CD8 Naive
25519,T cell,CD4 Memory
25520,T cell,CD8 Naive
25521,Mono/DC,CD14 Mono
25522,Mono/DC,CD14 Mono
25523,T cell,CD4 Naive
25524,Mono/DC,CD16 Mono
25525,T cell,CD4 Memory
25526,B cell,Memory B
25527,B cell,Naive B
25528,Mono/DC,CD14 Mono
25529,T cell,CD8 Naive
25530,Mono/DC,CD14 Mono
25531,T cell,CD4 Naive
25532,T cell,CD4 Naive
25533,T cell,CD8 Memory_2
25534,Progenitor cells,Prog_Mk
25535,Mono/DC,cDC2
25536,NK,NK
25537,T cell,CD4 Naive
25538,T cell,CD8 Memory_2
25539,Mono/DC,CD14 Mono
25540,T cell,CD8 Memory_2
25541,B cell,Naive B
25542,T cell,CD8 Naive
25543,B cell,Memory B
25544,Mono/DC,CD14 Mono
25545,Mono/DC,CD14 Mono
25546,T cell,MAIT
25547,T cell,CD8 Naive
25548,B cell,Naive B
25549,Progenitor cells,Prog_RBC
25550,T cell,CD8 Naive
25551,T cell,CD4 Naive
25552,T cell,CD8 Naive
25553,T cell,CD4 Memory
25554,B cell,Naive B
25555,Mono/DC,CD14 Mono
25556,B cell,Naive B
25557,Mono/DC,CD14 Mono
25558,Mono/DC,CD14 Mono
25559,B cell,Memory B
25560,Mono/DC,CD14 Mono
25561,T cell,CD4 Naive
25562,Progenitor cells,Prog_B 1
25563,Mono/DC,CD14 Mono
25564,B cell,Memory B
25565,B cell,Memory B
25566,Progenitor cells,Prog_RBC
25567,NK,NK
25568,T cell,CD4 Naive
25569,T cell,CD4 Memory
25570,T cell,CD8 Effector_1
25571,T cell,CD4 Naive
25572,Mono/DC,CD14 Mono
25573,B cell,Naive B
25574,T cell,CD4 Memory
25575,T cell,CD4 Naive
25576,B cell,Naive B
25577,Mono/DC,CD14 Mono
25578,B cell,Memory B
25579,Mono/DC,CD14 Mono
25580,T cell,CD4 Memory
25581,T cell,CD4 Naive
25582,T cell,CD8 Naive
25583,T cell,CD4 Naive
25584,T cell,CD8 Naive
25585,B cell,Naive B
25586,T cell,CD4 Memory
25587,Mono/DC,CD14 Mono
25588,B cell,Naive B
25589,T cell,CD4 Memory
25590,Progenitor cells,GMP
25591,NK,NK
25592,Mono/DC,CD14 Mono
25593,Mono/DC,CD14 Mono
25594,Progenitor cells,LMPP
25595,Mono/DC,CD14 Mono
25596,Mono/DC,CD14 Mono
25597,Mono/DC,CD14 Mono
25598,B cell,Naive B
25599,T cell,CD8 Naive
25600,Mono/DC,cDC2
25601,T cell,CD4 Naive
25602,B cell,Memory B
25603,B cell,Memory B
25604,Mono/DC,cDC2
25605,T cell,CD4 Naive
25606,Mono/DC,CD14 Mono
25607,T cell,CD8 Naive
25608,T cell,CD8 Memory_2
25609,NK,NK
25610,B cell,Naive B
25611,T cell,CD8 Naive
25612,T cell,CD8 Naive
25613,T cell,CD8 Naive
25614,T cell,CD8 Naive
25615,T cell,CD4 Memory
25616,T cell,CD8 Naive
25617,Mono/DC,CD14 Mono
25618,Mono/DC,CD14 Mono
25619,T cell,gdT
25620,Progenitor cells,Prog_RBC
25621,T cell,gdT
25622,Progenitor cells,Prog_DC
25623,Mono/DC,cDC2
25624,T cell,CD8 Effector_1
25625,T cell,CD4 Naive
25626,T cell,CD4 Memory
25627,T cell,CD4 Naive
25628,T cell,CD8 Naive
25629,Progenitor cells,Prog_RBC
25630,B cell,Naive B
25631,Progenitor cells,Prog_B 1
25632,T cell,CD8 Naive
25633,Mono/DC,cDC2
25634,T cell,CD4 Naive
25635,T cell,CD8 Memory_1
25636,T cell,CD4 Memory
25637,T cell,CD4 Memory
25638,T cell,CD4 Naive
25639,T cell,CD4 Naive
25640,T cell,CD8 Effector_1
25641,Mono/DC,CD14 Mono
25642,T cell,CD8 Naive
25643,T cell,CD8 Memory_1
25644,T cell,CD4 Memory
25645,Progenitor cells,GMP
25646,Mono/DC,CD14 Mono
25647,T cell,CD4 Naive
25648,T cell,CD4 Naive
25649,T cell,CD8 Naive
25650,Mono/DC,CD14 Mono
25651,Mono/DC,CD14 Mono
25652,Mono/DC,CD14 Mono
25653,T cell,CD4 Memory
25654,T cell,CD8 Effector_1
25655,T cell,CD4 Memory
25656,Mono/DC,CD14 Mono
25657,Mono/DC,CD14 Mono
25658,Progenitor cells,Prog_RBC
25659,Mono/DC,CD14 Mono
25660,Mono/DC,CD14 Mono
25661,Progenitor cells,Prog_RBC
25662,T cell,CD4 Memory
25663,T cell,MAIT
25664,Mono/DC,pDC
25665,Mono/DC,CD14 Mono
25666,T cell,CD4 Memory
25667,NK,NK
25668,NK,NK
25669,T cell,CD8 Naive
25670,Progenitor cells,GMP
25671,B cell,Memory B
25672,Mono/DC,CD14 Mono
25673,B cell,Plasmablast
25674,NK,NK
25675,T cell,CD4 Naive
25676,T cell,CD4 Naive
25677,Mono/DC,CD14 Mono
25678,B cell,Memory B
25679,T cell,CD8 Effector_2
25680,Mono/DC,CD14 Mono
25681,T cell,CD4 Naive
25682,NK,NK
25683,NK,NK
25684,T cell,CD8 Naive
25685,Progenitor cells,LMPP
25686,B cell,Memory B
25687,Mono/DC,cDC2
25688,T cell,CD4 Memory
25689,NK,NK
25690,T cell,CD4 Naive
25691,T cell,CD8 Naive
25692,B cell,Naive B
25693,Progenitor cells,HSC
25694,Mono/DC,CD14 Mono
25695,T cell,CD8 Memory_2
25696,Mono/DC,CD14 Mono
25697,Mono/DC,CD14 Mono
25698,T cell,CD8 Memory_2
25699,B cell,Memory B
25700,T cell,CD8 Naive
25701,Mono/DC,CD14 Mono
25702,Progenitor cells,GMP
25703,T cell,CD8 Naive
25704,T cell,CD4 Naive
25705,Progenitor cells,GMP
25706,T cell,CD4 Memory
25707,Progenitor cells,GMP
25708,Progenitor cells,GMP
25709,NK,CD56 bright NK
25710,B cell,Naive B
25711,Mono/DC,CD14 Mono
25712,Mono/DC,cDC2
25713,B cell,Naive B
25714,Progenitor cells,GMP
25715,T cell,CD4 Naive
25716,T cell,CD4 Naive
25717,T cell,CD4 Naive
25718,Progenitor cells,Prog_B 1
25719,T cell,CD4 Naive
25720,T cell,CD4 Naive
25721,T cell,CD8 Naive
25722,NK,NK
25723,Progenitor cells,Prog_RBC
25724,Progenitor cells,LMPP
25725,B cell,Naive B
25726,T cell,CD8 Memory_2
25727,T cell,CD4 Naive
25728,T cell,CD4 Memory
25729,Mono/DC,CD14 Mono
25730,B cell,Naive B
25731,T cell,CD8 Memory_2
25732,Mono/DC,CD14 Mono
25733,Mono/DC,CD14 Mono
25734,T cell,CD8 Naive
25735,T cell,CD4 Memory
25736,Mono/DC,CD14 Mono
25737,T cell,CD8 Naive
25738,Progenitor cells,Prog_B 2
25739,T cell,CD4 Memory
25740,T cell,CD4 Naive
25741,T cell,CD4 Naive
25742,T cell,CD8 Naive
25743,T cell,CD8 Naive
25744,T cell,CD4 Memory
25745,T cell,CD8 Memory_1
25746,T cell,CD4 Memory
25747,B cell,Naive B
25748,Mono/DC,CD14 Mono
25749,Mono/DC,CD14 Mono
25750,T cell,CD4 Naive
25751,T cell,CD4 Naive
25752,T cell,CD4 Naive
25753,Progenitor cells,GMP
25754,T cell,CD4 Memory
25755,Mono/DC,CD14 Mono
25756,Mono/DC,CD14 Mono
25757,T cell,gdT
25758,B cell,Naive B
25759,Progenitor cells,Prog_RBC
25760,Mono/DC,CD14 Mono
25761,T cell,CD4 Naive
25762,Mono/DC,CD14 Mono
25763,T cell,CD8 Naive
25764,B cell,Naive B
25765,T cell,CD8 Naive
25766,NK,NK
25767,B cell,Naive B
25768,T cell,CD8 Effector_1
25769,T cell,CD4 Naive
25770,B cell,Naive B
25771,Mono/DC,CD14 Mono
25772,T cell,CD4 Naive
25773,NK,NK
25774,Mono/DC,CD14 Mono
25775,T cell,MAIT
25776,NK,NK
25777,Mono/DC,CD14 Mono
25778,T cell,CD8 Naive
25779,T cell,CD4 Naive
25780,T cell,CD8 Memory_2
25781,Mono/DC,CD14 Mono
25782,T cell,CD4 Naive
25783,B cell,Naive B
25784,Progenitor cells,Prog_RBC
25785,B cell,Memory B
25786,Progenitor cells,LMPP
25787,B cell,Naive B
25788,T cell,CD4 Naive
25789,Mono/DC,pDC
25790,T cell,CD8 Naive
25791,T cell,Treg
25792,T cell,CD8 Naive
25793,T cell,CD4 Memory
25794,T cell,CD8 Naive
25795,T cell,CD4 Naive
25796,Progenitor cells,Prog_RBC
25797,Progenitor cells,HSC
25798,Mono/DC,CD14 Mono
25799,T cell,Treg
25800,NK,NK
25801,Mono/DC,CD16 Mono
25802,T cell,CD4 Memory
25803,T cell,CD4 Memory
25804,Progenitor cells,Prog_Mk
25805,Mono/DC,CD14 Mono
25806,B cell,Naive B
25807,Mono/DC,cDC2
25808,T cell,Treg
25809,B cell,Naive B
25810,T cell,CD4 Naive
25811,Mono/DC,CD14 Mono
25812,Mono/DC,CD14 Mono
25813,NK,NK
25814,Mono/DC,cDC2
25815,T cell,CD4 Naive
25816,T cell,CD8 Naive
25817,Mono/DC,CD14 Mono
25818,T cell,CD4 Naive
25819,NK,NK
25820,T cell,gdT
25821,T cell,Treg
25822,T cell,CD4 Naive
25823,T cell,CD4 Memory
25824,Mono/DC,CD14 Mono
25825,Mono/DC,CD14 Mono
25826,T cell,CD4 Memory
25827,T cell,CD4 Memory
25828,T cell,CD4 Memory
25829,NK,NK
25830,T cell,CD8 Naive
25831,T cell,CD4 Memory
25832,Progenitor cells,Prog_RBC
25833,T cell,CD8 Effector_1
25834,B cell,Naive B
25835,Progenitor cells,Prog_RBC
25836,T cell,CD8 Naive
25837,Progenitor cells,Prog_DC
25838,T cell,CD8 Effector_2
25839,Mono/DC,cDC2
25840,Progenitor cells,GMP
25841,NK,NK
25842,Progenitor cells,GMP
25843,T cell,CD8 Effector_1
25844,T cell,CD4 Naive
25845,Mono/DC,cDC2
25846,T cell,CD8 Naive
25847,T cell,CD8 Memory_1
25848,Mono/DC,CD14 Mono
25849,B cell,Naive B
25850,T cell,CD4 Naive
25851,T cell,CD4 Memory
25852,T cell,CD4 Naive
25853,T cell,CD4 Memory
25854,T cell,CD8 Naive
25855,T cell,CD8 Effector_2
25856,T cell,CD4 Memory
25857,T cell,CD4 Naive
25858,T cell,CD4 Memory
25859,B cell,Naive B
25860,Mono/DC,cDC2
25861,Mono/DC,CD14 Mono
25862,Mono/DC,cDC2
25863,T cell,CD8 Naive
25864,T cell,CD4 Memory
25865,Mono/DC,CD14 Mono
25866,NK,NK
25867,Mono/DC,CD14 Mono
25868,T cell,CD8 Naive
25869,Progenitor cells,HSC
25870,T cell,CD4 Naive
25871,T cell,CD8 Naive
25872,T cell,CD4 Memory
25873,T cell,CD4 Naive
25874,T cell,CD4 Memory
25875,Mono/DC,CD14 Mono
25876,T cell,CD8 Naive
25877,Progenitor cells,Prog_Mk
25878,T cell,CD4 Naive
25879,T cell,CD4 Naive
25880,Mono/DC,pDC
25881,T cell,CD4 Naive
25882,Mono/DC,CD14 Mono
25883,NK,NK
25884,T cell,CD4 Naive
25885,Mono/DC,CD14 Mono
25886,NK,NK
25887,T cell,CD4 Naive
25888,T cell,CD4 Naive
25889,Mono/DC,pDC
25890,B cell,Naive B
25891,Progenitor cells,Prog_DC
25892,B cell,Naive B
25893,T cell,CD4 Memory
25894,Progenitor cells,Prog_Mk
25895,T cell,CD4 Memory
25896,T cell,MAIT
25897,T cell,CD4 Naive
25898,Mono/DC,CD14 Mono
25899,T cell,CD8 Effector_2
25900,Mono/DC,CD14 Mono
25901,Mono/DC,CD14 Mono
25902,Mono/DC,CD14 Mono
25903,B cell,Naive B
25904,T cell,Treg
25905,T cell,CD4 Naive
25906,T cell,CD4 Memory
25907,T cell,CD8 Effector_2
25908,NK,NK
25909,Mono/DC,CD14 Mono
25910,Mono/DC,CD14 Mono
25911,T cell,CD8 Naive
25912,T cell,CD8 Naive
25913,T cell,CD4 Naive
25914,T cell,CD8 Naive
25915,Mono/DC,CD14 Mono
25916,B cell,Memory B
25917,Progenitor cells,GMP
25918,Mono/DC,CD16 Mono
25919,T cell,CD8 Naive
25920,Mono/DC,CD14 Mono
25921,Mono/DC,CD14 Mono
25922,B cell,Naive B
25923,Progenitor cells,Prog_B 2
25924,NK,NK
25925,T cell,CD4 Naive
25926,T cell,CD4 Memory
25927,T cell,CD4 Naive
25928,NK,NK
25929,T cell,CD8 Naive
25930,T cell,CD4 Naive
25931,T cell,CD4 Memory
25932,T cell,CD4 Naive
25933,T cell,CD8 Naive
25934,T cell,CD4 Naive
25935,B cell,Naive B
25936,T cell,CD4 Naive
25937,T cell,CD4 Memory
25938,Progenitor cells,GMP
25939,T cell,CD4 Naive
25940,Mono/DC,CD14 Mono
25941,Mono/DC,cDC2
25942,T cell,CD4 Memory
25943,T cell,CD4 Naive
25944,T cell,CD8 Naive
25945,T cell,CD8 Memory_1
25946,B cell,Naive B
25947,Mono/DC,CD14 Mono
25948,T cell,CD4 Naive
25949,B cell,Memory B
25950,T cell,MAIT
25951,Mono/DC,CD14 Mono
25952,T cell,CD8 Naive
25953,Mono/DC,CD14 Mono
25954,T cell,CD8 Naive
25955,Mono/DC,CD14 Mono
25956,T cell,CD8 Naive
25957,T cell,CD8 Naive
25958,Mono/DC,cDC2
25959,T cell,CD8 Effector_2
25960,B cell,Memory B
25961,Mono/DC,CD14 Mono
25962,Mono/DC,pDC
25963,T cell,CD4 Naive
25964,T cell,CD4 Naive
25965,Mono/DC,CD16 Mono
25966,Progenitor cells,GMP
25967,T cell,CD8 Memory_1
25968,T cell,Treg
25969,T cell,CD8 Memory_1
25970,Mono/DC,CD14 Mono
25971,Mono/DC,CD14 Mono
25972,T cell,CD4 Memory
25973,T cell,CD4 Memory
25974,Progenitor cells,Prog_RBC
25975,T cell,CD4 Naive
25976,B cell,Memory B
25977,Mono/DC,CD14 Mono
25978,T cell,CD4 Naive
25979,B cell,Naive B
25980,T cell,CD4 Memory
25981,T cell,CD8 Naive
25982,Mono/DC,CD14 Mono
25983,T cell,CD4 Naive
25984,T cell,CD4 Naive
25985,T cell,CD4 Naive
25986,T cell,CD4 Naive
25987,T cell,CD4 Naive
25988,T cell,Treg
25989,B cell,Memory B
25990,T cell,CD8 Naive
25991,Progenitor cells,Prog_B 1
25992,T cell,CD4 Memory
25993,T cell,CD8 Effector_1
25994,NK,NK
25995,Progenitor cells,Prog_RBC
25996,T cell,CD4 Memory
25997,Mono/DC,CD14 Mono
25998,B cell,Memory B
25999,Mono/DC,CD16 Mono
26000,T cell,CD4 Memory
26001,Mono/DC,CD14 Mono
26002,T cell,CD8 Naive
26003,T cell,CD8 Naive
26004,B cell,Naive B
26005,Mono/DC,CD14 Mono
26006,T cell,CD8 Naive
26007,T cell,CD4 Memory
26008,Progenitor cells,GMP
26009,Progenitor cells,GMP
26010,B cell,Naive B
26011,NK,CD56 bright NK
26012,T cell,CD8 Naive
26013,Progenitor cells,GMP
26014,T cell,CD4 Naive
26015,T cell,CD4 Naive
26016,Mono/DC,cDC2
26017,T cell,CD8 Naive
26018,T cell,CD4 Naive
26019,Mono/DC,CD14 Mono
26020,T cell,CD4 Naive
26021,T cell,CD8 Effector_1
26022,T cell,Treg
26023,T cell,CD8 Naive
26024,T cell,CD8 Naive
26025,T cell,CD4 Naive
26026,Progenitor cells,Prog_DC
26027,T cell,CD8 Naive
26028,T cell,CD4 Memory
26029,T cell,CD4 Naive
26030,Progenitor cells,GMP
26031,T cell,CD4 Memory
26032,T cell,CD4 Naive
26033,T cell,CD8 Naive
26034,T cell,CD4 Memory
26035,Mono/DC,CD14 Mono
26036,T cell,CD8 Naive
26037,T cell,CD8 Memory_1
26038,T cell,MAIT
26039,Mono/DC,CD14 Mono
26040,B cell,Naive B
26041,B cell,Naive B
26042,T cell,CD4 Memory
26043,T cell,Treg
26044,T cell,CD8 Naive
26045,B cell,Naive B
26046,Mono/DC,CD14 Mono
26047,NK,NK
26048,B cell,Naive B
26049,T cell,CD4 Naive
26050,NK,NK
26051,Mono/DC,CD14 Mono
26052,B cell,Plasmablast
26053,T cell,CD4 Memory
26054,T cell,CD4 Naive
26055,B cell,Plasmablast
26056,T cell,CD8 Naive
26057,T cell,CD8 Naive
26058,T cell,CD8 Memory_1
26059,Mono/DC,cDC2
26060,Mono/DC,CD14 Mono
26061,B cell,Memory B
26062,T cell,CD8 Naive
26063,Mono/DC,CD14 Mono
26064,T cell,CD4 Memory
26065,B cell,Plasmablast
26066,Progenitor cells,GMP
26067,T cell,CD8 Naive
26068,B cell,Naive B
26069,T cell,gdT
26070,Mono/DC,CD14 Mono
26071,T cell,CD4 Naive
26072,Mono/DC,CD14 Mono
26073,B cell,Memory B
26074,T cell,MAIT
26075,Mono/DC,CD14 Mono
26076,B cell,Plasmablast
26077,Mono/DC,CD14 Mono
26078,B cell,Memory B
