Index,cell_type,cell_type_02
4307,CD4,CD4_source
4308,CD4,CD4_source
4309,CD8,CD8_source
4310,Monocytes,Monocytes_source
4311,CD4,CD4_source
4312,Monocytes,Monocytes_source
4313,CD4,CD4_source
4314,NK,NK_source
4315,CD4,CD4_source
4316,CD8,CD8_source
4317,Monocytes,Monocytes_source
4318,CD4,CD4_source
4319,CD8,CD8_source
4320,CD4,CD4_source
4321,CD4,CD4_source
4322,Monocytes,Monocytes_source
4323,Monocytes,Monocytes_source
4324,CD4,CD4_source
4325,CD8,CD8_source
4326,Monocytes,Monocytes_source
4327,CD4,CD4_source
4328,CD8,CD8_source
4329,B Cells,B Cells_source
4330,B Cells,B Cells_source
4331,CD4,CD4_source
4332,CD4,CD4_source
4333,Monocytes,Monocytes_source
4334,CD4,CD4_source
4335,CD4,CD4_source
4336,Monocytes,Monocytes_source
4337,CD8,CD8_source
4338,CD8,CD8_source
4339,Monocytes,Monocytes_source
4340,Monocytes,Monocytes_source
4341,NK,NK_source
4342,Monocytes,Monocytes_source
4343,CD4,CD4_source
4344,Monocytes,Monocytes_source
4345,CD4,CD4_source
4346,NK,NK_source
4347,CD4,CD4_source
4348,Monocytes,Monocytes_source
4349,Monocytes,Monocytes_source
4350,CD4,CD4_source
4351,CD4,CD4_source
4352,CD8,CD8_source
4353,CD4,CD4_source
4354,CD8,CD8_source
4355,CD4,CD4_source
4356,Monocytes,Monocytes_source
4357,NK,NK_source
4358,CD8,CD8_source
4359,B Cells,B Cells_source
4360,B Cells,B Cells_source
4361,CD4,CD4_source
4362,CD8,CD8_source
4363,CD4,CD4_source
4364,NK,NK_source
4365,CD8,CD8_source
4366,CD8,CD8_source
4367,Monocytes,Monocytes_source
4368,CD4,CD4_source
4369,CD4,CD4_source
4370,Monocytes,Monocytes_source
4371,B Cells,B Cells_source
4372,CD8,CD8_source
4373,B Cells,B Cells_source
4374,Monocytes,Monocytes_source
4375,Dendritic Cells,Dendritic Cells_source
4376,CD4,CD4_source
4377,Monocytes,Monocytes_source
4378,CD8,CD8_source
4379,Monocytes,Monocytes_source
4380,CD8,CD8_source
4381,CD4,CD4_source
4382,B Cells,B Cells_source
4383,B Cells,B Cells_source
4384,Monocytes,Monocytes_source
4385,CD8,CD8_source
4386,CD8,CD8_source
4387,Monocytes,Monocytes_source
4388,Monocytes,Monocytes_source
4389,Monocytes,Monocytes_source
4390,CD4,CD4_source
4391,CD8,CD8_source
4392,CD8,CD8_source
4393,Monocytes,Monocytes_source
4394,Monocytes,Monocytes_source
4395,MAIT,MAIT_source
4396,CD4,CD4_source
4397,CD8,CD8_source
4398,B Cells,B Cells_source
4399,Monocytes,Monocytes_source
4400,Monocytes,Monocytes_source
4401,NK,NK_source
4402,CD8,CD8_source
4403,Monocytes,Monocytes_source
4404,CD8,CD8_source
4405,CD8,CD8_source
4406,B Cells,B Cells_source
4407,Monocytes,Monocytes_source
4408,CD8,CD8_source
4409,CD4,CD4_source
4410,Monocytes,Monocytes_source
4411,Monocytes,Monocytes_source
4412,CD8,CD8_source
4413,Monocytes,Monocytes_source
4414,Monocytes,Monocytes_source
4415,NK,NK_source
4416,NK,NK_source
4417,CD8,CD8_source
4418,Monocytes,Monocytes_source
4419,CD4,CD4_source
4420,NK,NK_source
4421,CD8,CD8_source
4422,Monocytes,Monocytes_source
4423,CD8,CD8_source
4424,B Cells,B Cells_source
4425,Monocytes,Monocytes_source
4426,Monocytes,Monocytes_source
4427,Monocytes,Monocytes_source
4428,B Cells,B Cells_source
4429,CD4,CD4_source
4430,CD8,CD8_source
4431,Monocytes,Monocytes_source
4432,CD8,CD8_source
4433,CD8,CD8_source
4434,CD8,CD8_source
4435,CD4,CD4_source
4436,Monocytes,Monocytes_source
4437,CD4,CD4_source
4438,Monocytes,Monocytes_source
4439,B Cells,B Cells_source
4440,Monocytes,Monocytes_source
4441,CD4,CD4_source
4442,CD8,CD8_source
4443,Monocytes,Monocytes_source
4444,NK,NK_source
4445,Monocytes,Monocytes_source
4446,Monocytes,Monocytes_source
4447,CD4,CD4_source
4448,Monocytes,Monocytes_source
4449,CD4,CD4_source
4450,CD4,CD4_source
4451,Monocytes,Monocytes_source
4452,Monocytes,Monocytes_source
4453,CD8,CD8_source
4454,CD4,CD4_source
4455,Monocytes,Monocytes_source
4456,CD4,CD4_source
4457,CD8,CD8_source
4458,CD8,CD8_source
4459,Monocytes,Monocytes_source
4460,Monocytes,Monocytes_source
4461,Monocytes,Monocytes_source
4462,Monocytes,Monocytes_source
4463,NK,NK_source
4464,CD8,CD8_source
4465,CD8,CD8_source
4466,CD8,CD8_source
4467,NK,NK_source
4468,CD4,CD4_source
4469,CD8,CD8_source
4470,CD4,CD4_source
4471,Monocytes,Monocytes_source
4472,CD4,CD4_source
4473,B Cells,B Cells_source
4474,CD4,CD4_source
4475,CD8,CD8_source
4476,Monocytes,Monocytes_source
4477,B Cells,B Cells_source
4478,CD4,CD4_source
4479,Monocytes,Monocytes_source
4480,Monocytes,Monocytes_source
4481,Monocytes,Monocytes_source
4482,Monocytes,Monocytes_source
4483,CD8,CD8_source
4484,Monocytes,Monocytes_source
4485,CD4,CD4_source
4486,B Cells,B Cells_source
4487,CD8,CD8_source
4488,Monocytes,Monocytes_source
4489,CD8,CD8_source
4490,CD8,CD8_source
4491,B Cells,B Cells_source
4492,CD8,CD8_source
4493,CD4,CD4_source
4494,Monocytes,Monocytes_source
4495,CD4,CD4_source
4496,CD4,CD4_source
4497,NK,NK_source
4498,CD4,CD4_source
4499,CD4,CD4_source
4500,Monocytes,Monocytes_source
4501,Monocytes,Monocytes_source
4502,B Cells,B Cells_source
4503,B Cells,B Cells_source
4504,NK,NK_source
4505,NK,NK_source
4506,B Cells,B Cells_source
4507,Monocytes,Monocytes_source
4508,Monocytes,Monocytes_source
4509,MAIT,MAIT_source
4510,Monocytes,Monocytes_source
4511,CD4,CD4_source
4512,Dendritic Cells,Dendritic Cells_source
4513,CD8,CD8_source
4514,Monocytes,Monocytes_source
4515,CD8,CD8_source
4516,NK,NK_source
4517,Monocytes,Monocytes_source
4518,CD8,CD8_source
4519,Monocytes,Monocytes_source
4520,Monocytes,Monocytes_source
4521,Monocytes,Monocytes_source
4522,Monocytes,Monocytes_source
4523,CD4,CD4_source
4524,CD4,CD4_source
4525,Monocytes,Monocytes_source
4526,Dendritic Cells,Dendritic Cells_source
4527,CD4,CD4_source
4528,Monocytes,Monocytes_source
4529,Monocytes,Monocytes_source
4530,CD4,CD4_source
4531,Monocytes,Monocytes_source
4532,B Cells,B Cells_source
4533,NK,NK_source
4534,CD4,CD4_source
4535,Monocytes,Monocytes_source
4536,CD8,CD8_source
4537,CD4,CD4_source
4538,Monocytes,Monocytes_source
4539,CD8,CD8_source
4540,Monocytes,Monocytes_source
4541,B Cells,B Cells_source
4542,CD8,CD8_source
4543,B Cells,B Cells_source
4544,Monocytes,Monocytes_source
4545,Monocytes,Monocytes_source
4546,CD8,CD8_source
4547,CD8,CD8_source
4548,CD4,CD4_source
4549,Monocytes,Monocytes_source
4550,Monocytes,Monocytes_source
4551,B Cells,B Cells_source
4552,CD4,CD4_source
4553,B Cells,B Cells_source
4554,Monocytes,Monocytes_source
4555,Monocytes,Monocytes_source
4556,Monocytes,Monocytes_source
4557,Monocytes,Monocytes_source
4558,MAIT,MAIT_source
4559,CD4,CD4_source
4560,Monocytes,Monocytes_source
4561,CD8,CD8_source
4562,CD4,CD4_source
4563,Monocytes,Monocytes_source
4564,Monocytes,Monocytes_source
4565,Monocytes,Monocytes_source
4566,CD4,CD4_source
4567,CD8,CD8_source
4568,NK,NK_source
4569,Monocytes,Monocytes_source
4570,CD8,CD8_source
4571,CD8,CD8_source
4572,CD4,CD4_source
4573,Monocytes,Monocytes_source
4574,HSPC,HSPC_source
4575,B Cells,B Cells_source
4576,CD4,CD4_source
4577,CD8,CD8_source
4578,NK,NK_source
4579,CD4,CD4_source
4580,B Cells,B Cells_source
4581,CD8,CD8_source
4582,CD4,CD4_source
4583,CD8,CD8_source
4584,CD4,CD4_source
4585,CD4,CD4_source
4586,CD4,CD4_source
4587,CD4,CD4_source
4588,CD8,CD8_source
4589,CD4,CD4_source
4590,CD4,CD4_source
4591,CD8,CD8_source
4592,CD8,CD8_source
4593,CD8,CD8_source
4594,Monocytes,Monocytes_source
4595,CD8,CD8_source
4596,CD8,CD8_source
4597,CD4,CD4_source
4598,B Cells,B Cells_source
4599,CD4,CD4_source
4600,CD8,CD8_source
4601,B Cells,B Cells_source
4602,Monocytes,Monocytes_source
4603,B Cells,B Cells_source
4604,CD8,CD8_source
4605,CD4,CD4_source
4606,CD4,CD4_source
4607,MAIT,MAIT_source
4608,CD8,CD8_source
4609,CD8,CD8_source
4610,CD4,CD4_source
4611,CD4,CD4_source
4612,CD4,CD4_source
4613,Monocytes,Monocytes_source
4614,NK,NK_source
4615,Monocytes,Monocytes_source
4616,Monocytes,Monocytes_source
4617,CD8,CD8_source
4618,Monocytes,Monocytes_source
4619,CD8,CD8_source
4620,B Cells,B Cells_source
4621,Monocytes,Monocytes_source
4622,Monocytes,Monocytes_source
4623,CD8,CD8_source
4624,Monocytes,Monocytes_source
4625,NK,NK_source
4626,CD8,CD8_source
4627,CD8,CD8_source
4628,Monocytes,Monocytes_source
4629,CD4,CD4_source
4630,B Cells,B Cells_source
4631,CD8,CD8_source
4632,CD4,CD4_source
4633,Monocytes,Monocytes_source
4634,CD4,CD4_source
4635,Monocytes,Monocytes_source
4636,Monocytes,Monocytes_source
4637,CD8,CD8_source
4638,CD8,CD8_source
4639,NK,NK_source
4640,CD4,CD4_source
4641,Monocytes,Monocytes_source
4642,Monocytes,Monocytes_source
4643,HSPC,HSPC_source
4644,Monocytes,Monocytes_source
4645,B Cells,B Cells_source
4646,CD8,CD8_source
4647,B Cells,B Cells_source
4648,Monocytes,Monocytes_source
4649,CD4,CD4_source
4650,B Cells,B Cells_source
4651,CD8,CD8_source
4652,CD8,CD8_source
4653,Monocytes,Monocytes_source
4654,CD4,CD4_source
4655,Monocytes,Monocytes_source
4656,Monocytes,Monocytes_source
4657,CD4,CD4_source
4658,Monocytes,Monocytes_source
4659,NK,NK_source
4660,Dendritic Cells,Dendritic Cells_source
4661,CD4,CD4_source
4662,CD4,CD4_source
4663,CD4,CD4_source
4664,CD4,CD4_source
4665,NK,NK_source
4666,Monocytes,Monocytes_source
4667,Monocytes,Monocytes_source
4668,NK,NK_source
4669,MAIT,MAIT_source
4670,CD4,CD4_source
4671,CD8,CD8_source
4672,CD4,CD4_source
4673,Monocytes,Monocytes_source
4674,CD4,CD4_source
4675,B Cells,B Cells_source
4676,Monocytes,Monocytes_source
4677,NK,NK_source
4678,NK,NK_source
4679,Monocytes,Monocytes_source
4680,Monocytes,Monocytes_source
4681,Monocytes,Monocytes_source
4682,B Cells,B Cells_source
4683,CD8,CD8_source
4684,CD4,CD4_source
4685,NK,NK_source
4686,CD4,CD4_source
4687,CD4,CD4_source
4688,CD8,CD8_source
4689,CD8,CD8_source
4690,Monocytes,Monocytes_source
4691,CD4,CD4_source
4692,Monocytes,Monocytes_source
4693,CD8,CD8_source
4694,CD8,CD8_source
4695,CD4,CD4_source
4696,CD8,CD8_source
4697,CD4,CD4_source
4698,CD4,CD4_source
4699,CD8,CD8_source
4700,Monocytes,Monocytes_source
4701,CD4,CD4_source
4702,CD8,CD8_source
4703,Monocytes,Monocytes_source
4704,CD4,CD4_source
4705,CD8,CD8_source
4706,CD4,CD4_source
4707,Dendritic Cells,Dendritic Cells_source
4708,NK,NK_source
4709,CD4,CD4_source
4710,B Cells,B Cells_source
4711,Dendritic Cells,Dendritic Cells_source
4712,NK,NK_source
4713,Monocytes,Monocytes_source
4714,CD4,CD4_source
4715,NK,NK_source
4716,CD4,CD4_source
4717,CD8,CD8_source
4718,Monocytes,Monocytes_source
4719,CD4,CD4_source
4720,CD8,CD8_source
4721,Dendritic Cells,Dendritic Cells_source
4722,Monocytes,Monocytes_source
4723,Monocytes,Monocytes_source
4724,CD4,CD4_source
4725,Monocytes,Monocytes_source
4726,Monocytes,Monocytes_source
4727,B Cells,B Cells_source
4728,Monocytes,Monocytes_source
4729,CD4,CD4_source
4730,CD8,CD8_source
4731,CD4,CD4_source
4732,B Cells,B Cells_source
4733,CD8,CD8_source
4734,CD4,CD4_source
4735,Monocytes,Monocytes_source
4736,NK,NK_source
4737,Monocytes,Monocytes_source
4738,CD4,CD4_source
4739,MAIT,MAIT_source
4740,Dendritic Cells,Dendritic Cells_source
4741,B Cells,B Cells_source
4742,CD4,CD4_source
4743,Monocytes,Monocytes_source
4744,CD4,CD4_source
4745,Monocytes,Monocytes_source
4746,NK,NK_source
4747,CD4,CD4_source
4748,Monocytes,Monocytes_source
4749,CD8,CD8_source
4750,B Cells,B Cells_source
4751,Dendritic Cells,Dendritic Cells_source
4752,CD4,CD4_source
4753,CD4,CD4_source
4754,CD8,CD8_source
4755,CD4,CD4_source
4756,Monocytes,Monocytes_source
4757,CD8,CD8_source
4758,Monocytes,Monocytes_source
4759,CD8,CD8_source
4760,B Cells,B Cells_source
4761,NK,NK_source
4762,Monocytes,Monocytes_source
4763,Monocytes,Monocytes_source
4764,B Cells,B Cells_source
4765,CD4,CD4_source
4766,CD8,CD8_source
4767,Monocytes,Monocytes_source
4768,CD4,CD4_source
4769,Monocytes,Monocytes_source
4770,Monocytes,Monocytes_source
4771,CD8,CD8_source
4772,Dendritic Cells,Dendritic Cells_source
4773,CD8,CD8_source
4774,CD8,CD8_source
4775,Monocytes,Monocytes_source
4776,Monocytes,Monocytes_source
4777,CD8,CD8_source
4778,CD8,CD8_source
4779,Monocytes,Monocytes_source
4780,CD8,CD8_source
4781,CD4,CD4_source
4782,CD8,CD8_source
4783,CD8,CD8_source
4784,Monocytes,Monocytes_source
4785,CD8,CD8_source
4786,CD4,CD4_source
4787,CD4,CD4_source
4788,CD4,CD4_source
4789,Monocytes,Monocytes_source
4790,CD4,CD4_source
4791,B Cells,B Cells_source
4792,NK,NK_source
4793,CD4,CD4_source
4794,CD4,CD4_source
4795,CD4,CD4_source
4796,CD8,CD8_source
4797,Monocytes,Monocytes_source
4798,B Cells,B Cells_source
4799,CD8,CD8_source
4800,Monocytes,Monocytes_source
4801,CD4,CD4_source
4802,CD8,CD8_source
4803,B Cells,B Cells_source
4804,CD8,CD8_source
4805,Monocytes,Monocytes_source
4806,CD4,CD4_source
4807,MAIT,MAIT_source
4808,CD4,CD4_source
4809,B Cells,B Cells_source
4810,NK,NK_source
4811,Dendritic Cells,Dendritic Cells_source
4812,Monocytes,Monocytes_source
4813,CD4,CD4_source
4814,NK,NK_source
4815,CD4,CD4_source
4816,CD4,CD4_source
4817,Monocytes,Monocytes_source
4818,CD4,CD4_source
4819,Monocytes,Monocytes_source
4820,CD4,CD4_source
4821,Monocytes,Monocytes_source
4822,CD4,CD4_source
4823,Monocytes,Monocytes_source
4824,Dendritic Cells,Dendritic Cells_source
4825,CD8,CD8_source
4826,CD4,CD4_source
4827,CD8,CD8_source
4828,CD4,CD4_source
4829,Monocytes,Monocytes_source
4830,Monocytes,Monocytes_source
4831,NK,NK_source
4832,Monocytes,Monocytes_source
4833,Monocytes,Monocytes_source
4834,CD4,CD4_source
4835,CD4,CD4_source
4836,CD8,CD8_source
4837,CD8,CD8_source
4838,Monocytes,Monocytes_source
4839,Monocytes,Monocytes_source
4840,CD8,CD8_source
4841,B Cells,B Cells_source
4842,CD4,CD4_source
4843,Monocytes,Monocytes_source
4844,CD4,CD4_source
4845,CD4,CD4_source
4846,CD4,CD4_source
4847,CD8,CD8_source
4848,CD4,CD4_source
4849,Monocytes,Monocytes_source
4850,CD8,CD8_source
4851,CD4,CD4_source
4852,Monocytes,Monocytes_source
4853,CD4,CD4_source
4854,NK,NK_source
4855,Dendritic Cells,Dendritic Cells_source
4856,Monocytes,Monocytes_source
4857,CD4,CD4_source
4858,CD8,CD8_source
4859,CD4,CD4_source
4860,CD8,CD8_source
4861,CD8,CD8_source
4862,Monocytes,Monocytes_source
4863,Monocytes,Monocytes_source
4864,CD4,CD4_source
4865,Monocytes,Monocytes_source
4866,Monocytes,Monocytes_source
4867,CD4,CD4_source
4868,CD8,CD8_source
4869,Monocytes,Monocytes_source
4870,CD4,CD4_source
4871,B Cells,B Cells_source
4872,NK,NK_source
4873,CD4,CD4_source
4874,Monocytes,Monocytes_source
4875,B Cells,B Cells_source
4876,CD4,CD4_source
4877,NK,NK_source
4878,NK,NK_source
4879,Monocytes,Monocytes_source
4880,B Cells,B Cells_source
4881,Monocytes,Monocytes_source
4882,NK,NK_source
4883,Monocytes,Monocytes_source
4884,CD8,CD8_source
4885,CD4,CD4_source
4886,CD4,CD4_source
4887,Monocytes,Monocytes_source
4888,B Cells,B Cells_source
4889,CD4,CD4_source
4890,CD8,CD8_source
4891,Monocytes,Monocytes_source
4892,CD4,CD4_source
4893,CD4,CD4_source
4894,Monocytes,Monocytes_source
4895,B Cells,B Cells_source
4896,CD4,CD4_source
4897,CD8,CD8_source
4898,Dendritic Cells,Dendritic Cells_source
4899,CD4,CD4_source
4900,CD4,CD4_source
4901,B Cells,B Cells_source
4902,Monocytes,Monocytes_source
4903,Monocytes,Monocytes_source
4904,CD4,CD4_source
4905,CD4,CD4_source
4906,CD8,CD8_source
4907,NK,NK_source
4908,Monocytes,Monocytes_source
4909,Monocytes,Monocytes_source
4910,CD4,CD4_source
4911,B Cells,B Cells_source
4912,CD8,CD8_source
4913,CD8,CD8_source
4914,CD4,CD4_source
4915,B Cells,B Cells_source
4916,Monocytes,Monocytes_source
4917,Monocytes,Monocytes_source
4918,Monocytes,Monocytes_source
4919,Monocytes,Monocytes_source
4920,Dendritic Cells,Dendritic Cells_source
4921,CD8,CD8_source
4922,B Cells,B Cells_source
4923,Monocytes,Monocytes_source
4924,Monocytes,Monocytes_source
4925,B Cells,B Cells_source
4926,B Cells,B Cells_source
4927,CD8,CD8_source
4928,CD8,CD8_source
4929,CD4,CD4_source
4930,CD4,CD4_source
4931,CD4,CD4_source
4932,Monocytes,Monocytes_source
4933,CD8,CD8_source
4934,Dendritic Cells,Dendritic Cells_source
4935,B Cells,B Cells_source
4936,CD4,CD4_source
4937,CD4,CD4_source
4938,CD8,CD8_source
4939,Monocytes,Monocytes_source
4940,Monocytes,Monocytes_source
4941,CD4,CD4_source
4942,CD8,CD8_source
4943,CD8,CD8_source
4944,Monocytes,Monocytes_source
4945,CD8,CD8_source
4946,CD8,CD8_source
4947,Monocytes,Monocytes_source
4948,CD4,CD4_source
4949,CD4,CD4_source
4950,Monocytes,Monocytes_source
4951,CD4,CD4_source
4952,Monocytes,Monocytes_source
4953,Monocytes,Monocytes_source
4954,CD4,CD4_source
4955,CD4,CD4_source
4956,CD4,CD4_source
4957,CD4,CD4_source
4958,CD4,CD4_source
4959,B Cells,B Cells_source
4960,Monocytes,Monocytes_source
4961,CD4,CD4_source
4962,CD8,CD8_source
4963,CD8,CD8_source
4964,NK,NK_source
4965,CD4,CD4_source
4966,CD4,CD4_source
4967,CD4,CD4_source
4968,CD8,CD8_source
4969,Dendritic Cells,Dendritic Cells_source
4970,CD4,CD4_source
4971,B Cells,B Cells_source
4972,Monocytes,Monocytes_source
4973,B Cells,B Cells_source
4974,CD8,CD8_source
4975,Dendritic Cells,Dendritic Cells_source
4976,NK,NK_source
4977,Monocytes,Monocytes_source
4978,CD4,CD4_source
4979,NK,NK_source
4980,B Cells,B Cells_source
4981,Monocytes,Monocytes_source
4982,CD4,CD4_source
4983,CD4,CD4_source
4984,CD4,CD4_source
4985,Monocytes,Monocytes_source
4986,B Cells,B Cells_source
4987,CD4,CD4_source
4988,CD4,CD4_source
4989,Monocytes,Monocytes_source
4990,CD8,CD8_source
4991,Monocytes,Monocytes_source
4992,B Cells,B Cells_source
4993,CD4,CD4_source
4994,Monocytes,Monocytes_source
4995,CD4,CD4_source
4996,CD4,CD4_source
4997,Monocytes,Monocytes_source
4998,CD8,CD8_source
4999,MAIT,MAIT_source
5000,B Cells,B Cells_source
5001,Monocytes,Monocytes_source
5002,B Cells,B Cells_source
5003,CD8,CD8_source
5004,Monocytes,Monocytes_source
5005,Monocytes,Monocytes_source
5006,CD4,CD4_source
5007,CD8,CD8_source
5008,CD4,CD4_source
5009,NK,NK_source
5010,CD4,CD4_source
5011,Monocytes,Monocytes_source
5012,CD8,CD8_source
5013,Dendritic Cells,Dendritic Cells_source
5014,NK,NK_source
5015,Monocytes,Monocytes_source
5016,CD8,CD8_source
5017,CD4,CD4_source
5018,NK,NK_source
5019,CD4,CD4_source
5020,CD4,CD4_source
5021,B Cells,B Cells_source
5022,NK,NK_source
5023,CD4,CD4_source
5024,CD8,CD8_source
5025,CD8,CD8_source
5026,NK,NK_source
5027,CD8,CD8_source
5028,Monocytes,Monocytes_source
5029,B Cells,B Cells_source
5030,Monocytes,Monocytes_source
5031,Monocytes,Monocytes_source
5032,Monocytes,Monocytes_source
5033,Monocytes,Monocytes_source
5034,CD8,CD8_source
5035,Monocytes,Monocytes_source
5036,CD8,CD8_source
5037,CD4,CD4_source
5038,Monocytes,Monocytes_source
5039,CD4,CD4_source
5040,CD4,CD4_source
5041,B Cells,B Cells_source
5042,CD4,CD4_source
5043,Monocytes,Monocytes_source
5044,Monocytes,Monocytes_source
5045,CD4,CD4_source
5046,Monocytes,Monocytes_source
5047,CD8,CD8_source
5048,Monocytes,Monocytes_source
5049,Monocytes,Monocytes_source
5050,CD8,CD8_source
5051,CD8,CD8_source
5052,NK,NK_source
5053,CD4,CD4_source
5054,B Cells,B Cells_source
5055,B Cells,B Cells_source
5056,CD4,CD4_source
5057,Monocytes,Monocytes_source
5058,Monocytes,Monocytes_source
5059,CD4,CD4_source
5060,CD8,CD8_source
5061,CD8,CD8_source
5062,B Cells,B Cells_source
5063,CD8,CD8_source
5064,CD4,CD4_source
5065,Monocytes,Monocytes_source
5066,CD8,CD8_source
5067,B Cells,B Cells_source
5068,CD4,CD4_source
5069,Monocytes,Monocytes_source
5070,Monocytes,Monocytes_source
5071,Monocytes,Monocytes_source
5072,Monocytes,Monocytes_source
5073,B Cells,B Cells_source
5074,Monocytes,Monocytes_source
5075,NK,NK_source
5076,CD4,CD4_source
5077,Monocytes,Monocytes_source
5078,Monocytes,Monocytes_source
5079,CD4,CD4_source
5080,CD8,CD8_source
5081,Monocytes,Monocytes_source
5082,CD8,CD8_source
5083,Monocytes,Monocytes_source
5084,CD8,CD8_source
5085,CD8,CD8_source
5086,CD8,CD8_source
5087,CD4,CD4_source
5088,Monocytes,Monocytes_source
5089,Monocytes,Monocytes_source
5090,Monocytes,Monocytes_source
5091,CD4,CD4_source
5092,Monocytes,Monocytes_source
5093,Monocytes,Monocytes_source
5094,CD4,CD4_source
5095,Monocytes,Monocytes_source
5096,CD8,CD8_source
5097,CD8,CD8_source
5098,CD4,CD4_source
5099,CD8,CD8_source
5100,CD4,CD4_source
5101,NK,NK_source
5102,CD4,CD4_source
5103,CD8,CD8_source
5104,B Cells,B Cells_source
5105,Monocytes,Monocytes_source
5106,CD4,CD4_source
5107,CD4,CD4_source
5108,Monocytes,Monocytes_source
5109,CD4,CD4_source
5110,Monocytes,Monocytes_source
5111,CD4,CD4_source
5112,Monocytes,Monocytes_source
5113,Monocytes,Monocytes_source
5114,NK,NK_source
5115,Monocytes,Monocytes_source
5116,Monocytes,Monocytes_source
5117,B Cells,B Cells_source
5118,Monocytes,Monocytes_source
5119,Monocytes,Monocytes_source
5120,CD4,CD4_source
5121,Monocytes,Monocytes_source
5122,CD8,CD8_source
5123,Monocytes,Monocytes_source
5124,CD4,CD4_source
5125,CD4,CD4_source
5126,Dendritic Cells,Dendritic Cells_source
5127,CD8,CD8_source
5128,Monocytes,Monocytes_source
5129,CD4,CD4_source
5130,CD4,CD4_source
5131,CD8,CD8_source
5132,CD8,CD8_source
5133,CD8,CD8_source
5134,Monocytes,Monocytes_source
5135,CD8,CD8_source
5136,B Cells,B Cells_source
5137,CD4,CD4_source
5138,Dendritic Cells,Dendritic Cells_source
5139,CD8,CD8_source
5140,CD4,CD4_source
5141,CD4,CD4_source
5142,NK,NK_source
5143,NK,NK_source
5144,CD4,CD4_source
5145,CD4,CD4_source
5146,CD4,CD4_source
5147,CD4,CD4_source
5148,Dendritic Cells,Dendritic Cells_source
5149,Monocytes,Monocytes_source
5150,CD4,CD4_source
5151,Dendritic Cells,Dendritic Cells_source
5152,CD8,CD8_source
5153,Monocytes,Monocytes_source
5154,Monocytes,Monocytes_source
5155,Monocytes,Monocytes_source
5156,CD8,CD8_source
5157,Monocytes,Monocytes_source
5158,CD4,CD4_source
5159,CD4,CD4_source
5160,CD4,CD4_source
5161,CD8,CD8_source
5162,CD4,CD4_source
5163,CD4,CD4_source
5164,CD4,CD4_source
5165,B Cells,B Cells_source
5166,Dendritic Cells,Dendritic Cells_source
5167,Monocytes,Monocytes_source
5168,Monocytes,Monocytes_source
5169,Monocytes,Monocytes_source
5170,B Cells,B Cells_source
5171,Monocytes,Monocytes_source
5172,CD4,CD4_source
5173,Monocytes,Monocytes_source
5174,CD4,CD4_source
5175,Monocytes,Monocytes_source
5176,CD8,CD8_source
5177,B Cells,B Cells_source
5178,CD8,CD8_source
5179,CD4,CD4_source
5180,CD4,CD4_source
5181,Monocytes,Monocytes_source
5182,Monocytes,Monocytes_source
5183,Monocytes,Monocytes_source
5184,MAIT,MAIT_source
5185,CD4,CD4_source
5186,Dendritic Cells,Dendritic Cells_source
5187,CD8,CD8_source
5188,CD8,CD8_source
5189,Dendritic Cells,Dendritic Cells_source
5190,Monocytes,Monocytes_source
5191,CD4,CD4_source
5192,NK,NK_source
5193,Monocytes,Monocytes_source
5194,CD4,CD4_source
5195,Monocytes,Monocytes_source
5196,Monocytes,Monocytes_source
5197,Monocytes,Monocytes_source
5198,Monocytes,Monocytes_source
5199,CD8,CD8_source
5200,Monocytes,Monocytes_source
5201,NK,NK_source
5202,CD4,CD4_source
5203,CD4,CD4_source
5204,CD4,CD4_source
5205,NK,NK_source
5206,CD8,CD8_source
5207,Monocytes,Monocytes_source
5208,CD4,CD4_source
5209,Monocytes,Monocytes_source
5210,Monocytes,Monocytes_source
5211,CD8,CD8_source
5212,CD4,CD4_source
5213,CD4,CD4_source
5214,NK,NK_source
5215,CD8,CD8_source
5216,CD4,CD4_source
5217,CD4,CD4_source
5218,CD8,CD8_source
5219,Monocytes,Monocytes_source
5220,Monocytes,Monocytes_source
5221,CD8,CD8_source
5222,Monocytes,Monocytes_source
5223,CD4,CD4_source
5224,Monocytes,Monocytes_source
5225,CD8,CD8_source
5226,Dendritic Cells,Dendritic Cells_source
5227,CD4,CD4_source
5228,Monocytes,Monocytes_source
5229,Monocytes,Monocytes_source
5230,B Cells,B Cells_source
5231,CD8,CD8_source
5232,NK,NK_source
5233,Monocytes,Monocytes_source
5234,B Cells,B Cells_source
5235,CD8,CD8_source
5236,CD8,CD8_source
5237,NK,NK_source
5238,CD4,CD4_source
5239,CD4,CD4_source
5240,CD4,CD4_source
5241,CD8,CD8_source
5242,CD8,CD8_source
5243,Monocytes,Monocytes_source
5244,CD8,CD8_source
5245,CD4,CD4_source
5246,B Cells,B Cells_source
5247,Monocytes,Monocytes_source
5248,Monocytes,Monocytes_source
5249,CD4,CD4_source
5250,CD4,CD4_source
5251,NK,NK_source
5252,CD4,CD4_source
5253,B Cells,B Cells_source
5254,CD8,CD8_source
5255,Monocytes,Monocytes_source
5256,CD4,CD4_source
5257,Monocytes,Monocytes_source
5258,CD8,CD8_source
5259,CD8,CD8_source
5260,NK,NK_source
5261,Monocytes,Monocytes_source
5262,Monocytes,Monocytes_source
5263,CD8,CD8_source
5264,CD4,CD4_source
5265,CD4,CD4_source
